Team,ABRV,Display_ABRV,WC_All_Time,Confederation,MP,W,D,L,GF,GA,PTS,Avg Pts,Part,WC_1930,WC_1934,WC_1938,WC_1950,WC_1954,WC_1958,WC_1962,WC_1966,WC_1970,WC_1974,WC_1978,WC_1982,WC_1986,WC_1990,Qualifiers_1994,FIFA_1994,WC_1994,Qualifiers_1998,FIFA_1998,WC_1998,Qualifiers_2002,FIFA_2002,WC_2002,Qualifiers_2006,FIFA_2006,WC_2006,Qualifiers_2010,FIFA_2010,WC_2010,Qualifiers_2014,FIFA_2014,WC_2014,FIFA_2018
Cape Verde Islands,CPV,CPV,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,153,,,164,,,160,,,123,,,114,,,39,,65
Venezuela,VEN,VEN,,CONMEBOL,,,,,,,,,,,,,,,,,,,,,,,,,94,,,114,,,83,,,71,,,49,,,40,,33
Wales,WAL,WAL,53,UEFA,5,1,3,1,4,4,6,1.2,1,,,,,,6,,,,,,,,,,35,,,103,,,96,,,74,,,77,,,41,,18
Morocco,MAR,MAR,44,CAF,13,2,4,7,12,18,10,0.77,4,,,,,,,,,14,,,,11,,19,28,23,12,13,18,,39,,,36,,,70,,,77,,41
Peru,PER,PER,37,CONMEBOL,15,4,3,8,19,31,15,1,4,10,,,,,,,,7,,8,20,,,,67,,,37,,,47,,,66,,,53,,,45,,11
Hungary,HUN,HUN,16,UEFA,32,15,3,14,87,57,48,1.5,9,,6,2,,2,10,5,6,,,15,14,18,,,56,,,62,,,68,,,76,,,57,,,47,,51
Bulgaria,BGR,BUL,33,UEFA,26,3,8,15,22,53,17,0.65,7,,,,,,,15,15,13,12,,,15,,20,29,4,27,35,29,,54,,,37,,,39,,,78,,49
Montenegro,MNE,MNE,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,51,,43
Iceland,ISL,ISL,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,38,,,72,,,56,,,99,,,90,,,52,,22
Guinea,GIN,GUI,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,61,,,60,,,110,,,51,,,87,,,52,,68
Sierra Leone,SLE,SLE,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,66,,,91,,,144,,,165,,,130,,,54,,111
Greece,GRC,GRE,49,UEFA,10,2,2,6,5,20,8,0.8,3,,,,,,,,,,,,,,,21,31,24,,55,,,53,,,20,,10,13,25,12,12,13,44
Mali,MLI,MLI,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,49,,,66,,,85,,,66,,,54,,,57,,64
Uzbekistan,UZB,UZB,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,67,,,60,,,94,,,59,,95
Burkina Faso,BFA,BFA,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,102,,,67,,,80,,,89,,,48,,,60,,52
Finland,FIN,FIN,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,46,,,61,,,41,,,49,,,52,,,61,,63
Jordan,JOR,JOR,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,96,,,125,,,100,,,84,,,104,,,63,,110
Libya,LBY,LBY,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,157,,,148,,,116,,,86,,,102,,,64,,101
New Zealand,NZL,NZL,61,OFC,6,0,3,3,4,14,3,0.5,2,,,,,,,,,,,,23,,,,90,,,117,,,87,,,118,,30,78,22,,97,,120
Albania,ALB,ALB,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,104,,,101,,,95,,,85,,,79,,,66,,58
Saudi Arabia,SAU,SAU,50,AFC,13,2,2,9,9,32,8,0.62,4,,,,,,,,,,,,,,,22,34,12,26,34,28,26,34,32,23,34,28,,66,,,90,,67
El Salvador,SLV,SLV,77,CONCACAF,6,0,0,6,1,22,0,0,2,,,,,,,,,16,,,24,,,,68,,,68,,,84,,,129,,,72,,,68,,72
Ukraine,UKR,UKR,51,UEFA,5,2,1,2,5,7,7,1.4,1,,,,,,,,,,,,,,,,83,,,64,,,44,,28,45,8,,23,,,16,,35
Poland,POL,POL,15,UEFA,31,15,5,11,44,40,50,1.61,7,,,11,,,,,,,3,5,3,14,,,32,,,54,,29,38,25,20,29,21,,58,,,69,,8
Trinidad and Tobago,TTO,TRI,67,CONCACAF,3,0,1,2,0,4,1,0.33,1,,,,,,,,,,,,,,,,84,,,48,,,35,,29,47,27,,95,,,71,,91
United Arab Emirates,ARE,UAE,73,AFC,3,0,0,3,2,11,0,0,1,,,,,,,,,,,,,,24,,62,,,59,,,63,,,71,,,101,,,72,,77
Haiti,HTI,HAI,75,CONCACAF,3,0,0,3,2,14,0,0,1,,,,,,,,,,15,,,,,,122,,,110,,,81,,,106,,,91,,,73,,104
Scotland,SCO,SCO,30,UEFA,23,4,7,12,25,41,19,0.83,8,,,,,15,14,,,,9,11,15,19,18,,33,,29,41,27,,55,,,59,,,43,,,27,,42
Israel,ISR,ISR,64,UEFA,3,0,2,1,1,3,2,0.67,1,,,,,,,,,12,,,,,,,53,,,47,,,51,,,49,,,26,,,75,,93
Zambia,ZMB,ZAM,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,20,,,23,,,65,,,57,,,71,,,76,,76
IR Iran,IRN,IRN,54,AFC,12,1,3,8,7,22,6,0.5,4,,,,,,,,,,,14,,,,,58,,30,42,20,,30,,17,23,25,,61,,27,43,28,37
Korea Republic,KOR,KOR,26,AFC,31,5,9,17,31,67,24,0.77,9,,,,,16,,,,,,,,20,22,23,37,20,17,20,30,30,40,4,19,29,17,29,47,15,31,57,27,57
Oman,OMN,OMA,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,77,,,87,,,91,,,82,,,91,,,79,,84
FYR Macedonia,MKD,MKD,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,118,,,71,,,89,,,91,,,61,,,80,,71
Bolivia,BOL,BOL,68,CONMEBOL,6,0,1,5,1,20,1,0.17,3,12,,,13,,,,,,,,,,,24,43,21,,33,,,70,,,102,,,65,,,67,,59
Belarus,BLR,BLR,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,142,,,112,,,88,,,65,,,82,,,82,,78
Azerbaijan,AZE,AZE,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,170,,,123,,,115,,,112,,,109,,,83,,105
Congo DR,COD,COD,76,CAF,3,0,0,3,0,14,0,0,1,,,,,,,,,,16,,,,,,,,,,,,74,,,69,,,121,,,84,,38
Congo,COG,CGO,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,113,,,109,,,97,,,111,,,103,,,85,,83
Uganda,UGA,UGA,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,101,,,116,,,120,,,97,,,73,,,86,,82
Benin,BEN,BEN,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,138,,,132,,,151,,,114,,,60,,,87,,88
Ghana,GHA,GHA,36,CAF,12,4,3,5,13,16,15,1.25,3,,,,,,,,,,,,,,,,26,,,65,,,52,,30,48,13,24,32,7,26,37,25,47
Gabon,GAB,GAB,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,64,,,79,,,104,,,105,,,42,,,89,,85
Northern Ireland,NIR,NIR,39,UEFA,13,3,5,5,13,23,14,1.08,3,,,,,,8,,,,,,9,21,,,41,,,90,,,90,,,96,,,56,,,90,,29
Angola,AGO,ANG,63,CAF,3,0,2,1,1,2,2,0.67,1,,,,,,,,,,,,,,,,124,,,56,,,58,,31,57,23,,88,,,93,,137
Botswana,BWA,BOT,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,148,,,154,,,139,,,103,,,116,,,92,,139
Togo,TGO,TOG,71,CAF,3,0,0,3,1,6,0,0,1,,,,,,,,,,,,,,,,123,,,73,,,69,,32,61,30,,76,,,88,,125
Palestine,PLE,PLE,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,,,115,,,173,,,94,,99
Cuba,CUB,CUB,55,CONCACAF,3,1,1,1,5,12,4,1.33,1,,,8,,,,,,,,,,,,,165,,,88,,,78,,,80,,,126,,,95,,181
Georgia,GEO,GEO,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,126,,,52,,,59,,,101,,,120,,,96,,96
Senegal,SEN,SEN,47,CAF,5,2,2,1,7,6,8,1.6,1,,,,,,,,,,,,,,,,55,,,78,,31,42,7,,28,,,75,,,74,,27
Estonia,EST,EST,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,112,,,104,,,86,,,77,,,99,,,98,,94
Zimbabwe,ZWE,ZIM,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,42,,,84,,,66,,,55,,,110,,,99,,118
Qatar,QAT,QAT,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,69,,,70,,,73,,,78,,,96,,,100,,98
Moldova,MDA,MDA,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,149,,,138,,,103,,,104,,,89,,,101,,175
Equatorial Guinea,GNQ,EQG,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,191,,,154,,,141,,,102,,143
China PR,CHN,CHN,74,AFC,3,0,0,3,0,9,0,0,1,,,,,,,,,,,,,,,,59,,,51,,32,50,31,,68,,,84,,,103,,75
Iraq,IRQ,IRQ,70,AFC,3,0,0,3,1,4,0,0,1,,,,,,,,,,,,,23,,,65,,,85,,,71,,,52,,,80,,,104,,89
Central African Republic,CAF,CTA,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,163,,,188,,,183,,,181,,,202,,,105,,108
Lithuania,LTU,LTU,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,88,,,45,,,98,,,93,,,49,,,106,,126
Ethiopia,ETH,ETH,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,114,,,131,,,134,,,112,,,123,,,107,,151
Kenya,KEN,KEN,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,82,,,93,,,106,,,95,,,113,,,108,,112
Latvia,LVA,LVA,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,85,,,82,,,99,,,70,,,46,,,109,,129
Canada,CAN,CAN,72,CONCACAF,3,0,0,3,0,5,0,0,1,,,,,,,,,,,,,24,,,54,,,77,,,75,,,83,,,63,,,110,,79
Bahrain,BHR,BHR,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,92,,,134,,,108,,,54,,,69,,,110,,113
Niger,NER,NIG,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,81,,,155,,,193,,,177,,,162,,,112,,103
Tanzania,TZA,TAN,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,99,,,95,,,152,,,167,,,108,,,113,,140
Namibia,NAM,NAM,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,161,,,76,,,105,,,164,,,111,,,114,,116
Kuwait,KWT,KUW,66,AFC,3,0,1,2,2,6,1,0.33,1,,,,,,,,,,,,21,,,,74,,,43,,,77,,,74,,,97,,,115,,159
Rwanda,RWA,RWA,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,133,,,94,,,107,,,116,,136
Liberia,LBR,LBR,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,136,,,98,,,76,,,143,,,150,,,116,,158
Mozambique,MOZ,MOZ,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,108,,,69,,,129,,,127,,,85,,,118,,114
Luxembourg,LUX,LUX,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,117,,,143,,,145,,,152,,,127,,,119,,85
Sudan,SDN,SDN,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,129,,,113,,,121,,,97,,,118,,,120,,128
Aruba,ARU,ARU,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,169,,,173,,,186,,,201,,,198,,,120,,188
Malawi,MWI,MWI,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,80,,,97,,,122,,,107,,,86,,,122,,123
Vietnam,VNM,VNM,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,143,,,100,,,107,,,126,,,117,,,123,,102
Kazakhstan,KAZ,KAZ,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,102,,,135,,,129,,,124,,117
Lebanon,LBN,LBN,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,119,,,96,,,94,,,122,,,160,,,125,,79
Tajikistan,TJK,TJK,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,155,,,121,,,135,,,126,,119
Guatemala,GTM,GUA,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,134,,,75,,,62,,,62,,,114,,,127,,146
Burundi,BDI,BDI,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,111,,,158,,,130,,,150,,,144,,,128,,148
Philippines,PHL,PHI,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,166,,,174,,,175,,,191,,,169,,,129,,115
Afghanistan,AFG,AFG,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,189,,,130,,145
Dominican Republic,DOM,DOM,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,156,,,142,,,161,,,175,,,187,,,131,,152
Malta,MLT,MLT,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,72,,,124,,,118,,,125,,,157,,,132,,184
St Vincent and the Grenadines,VIN,VIN,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,135,,,126,,,131,,,133,,,163,,,133,,173
Guinea-Bissau,GNB,GNB,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,116,,,152,,,174,,,186,,,191,,,134,,121
Chad,TCD,CHA,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,170,,,182,,,176,,,159,,,143,,,134,,175
Suriname,SUR,SUR,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,93,,,146,,,146,,,158,,,137,,,136,,153
Mauritania,MRT,MRT,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,150,,,128,,,178,,,178,,,164,,,137,,107
St Lucia,LCA,LCA,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,146,,,133,,,135,,,131,,,191,,,137,,170
Lesotho,LSO,LES,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,144,,,136,,,136,,,141,,,152,,,139,,147
Syria,SYR,SYR,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,86,,,92,,,93,,,90,,,98,,,140,,73
New Caledonia,NCL,NCL,,OFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,145,,,140,,154
Cyprus,CYP,CYP,,UEFA,,,,,,,,,,,,,,,,,,,,,,,,,73,,,83,,,82,,,100,,,67,,,142,,87
Turkmenistan,TKM,TKM,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,114,,,120,,,139,,,143,,130
Madagascar,MDG,MAD,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,106,,,169,,,117,,,151,,,148,,,144,,106
Grenada,GRN,GRN,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,133,,,105,,,138,,,155,,,124,,,144,,168
Korea DPR,PRK,PRK,58,AFC,7,1,1,5,6,21,4,0.57,2,,,,,,,,8,,,,,,,,71,,,170,,,126,,,88,,32,105,32,,146,,108
Maldives,MDV,MDV,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,152,,,160,,,148,,,137,,,142,,,147,,150
Gambia,GMB,GAM,,CAF,,,,,,,,,,,,,,,,,,,,,,,,,110,,,120,,,154,,,166,,,93,,,148,,172
Kyrgyz Republic,KGZ,KGZ,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,166,,,147,,,168,,,149,,92
Thailand,THA,THA,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,75,,,50,,,60,,,108,,,106,,,149,,122
Antigua and Barbuda,ATG,ATG,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,121,,,144,,,158,,,160,,,119,,,151,,126
Belize,BLZ,BLZ,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,,157,,,180,,,179,,,152,,163
Malaysia,MYS,MAS,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,95,,,99,,,112,,,127,,,146,,,153,,171
India,IND,IND,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,105,,,115,,,123,,,117,,,133,,,154,,97
Singapore,SIN,SIN,,AFC,,,,,,,,,,,,,,,,,,,,,,,,,87,,,106,,,113,,,92,,,127,,,155,,169
Guyana,GUY,GUY,,CONCACAF,,,,,,,,,,,,,,,,,,,,,,,,,145,,,153,,,177,,,162,,,122,,,156,,182
